CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
1,55,M,2,High School,Single,$80K - $120K,Blue,20,2,2,3,15699.362015194387,789,14910.362015194387,0.964987989832182,5668,64,1.9576412849423757,0.3296825803970004
2,31,F,3,Unknown,Single,$60K - $80K,Silver,30,3,0,1,11626.531978675735,1189,10437.531978675735,0.0,2857,44,0.0,0.15573904369816452
3,49,M,1,High School,Unknown,$40K - $60K,Blue,42,4,5,4,19581.63861735459,1482,18099.63861735459,0.6115217621509071,513,10,1.7608889757737045,0.12120895228818163
4,40,M,0,Post-Graduate,Married,Less than $40K,Blue,29,2,5,1,14005.487060131269,660,13345.487060131269,1.2675333754866567,1281,28,1.943051292057762,0.0
5,39,F,1,Unknown,Single,$120K +,Blue,20,5,2,1,11479.85305210996,0,11479.85305210996,1.9336514128257047,1635,26,0.07168066837145604,0.023804041067836984
6,40,F,3,Uneducated,Married,$60K - $80K,Blue,31,3,3,3,19362.43722710888,161,19201.43722710888,3.25907692873266,2498,29,1.3215848188185686,0.0
7,39,F,0,High School,Married,$120K +,Blue,43,4,1,2,23049.555487021014,472,22577.555487021014,0.0,2014,57,0.16228768198259708,0.4123588353776039
8,51,M,4,Uneducated,Married,$80K - $120K,Blue,51,4,4,2,7932.9475420066165,466,7466.9475420066165,0.4422862928574446,3078,53,0.5613456924101553,0.09071109768402819
9,41,F,3,High School,Divorced,$80K - $120K,Blue,40,4,0,3,1438.3,680,758.3,1.1817878805706385,3939,52,0.0,0.02188369889566799
10,41,M,5,High School,Married,$40K - $60K,Blue,33,1,3,6,3844.326322070241,1194,2650.326322070241,0.20947434801463377,2958,37,1.4942679854174854,0.26076608792882916
11,50,F,0,Uneducated,Unknown,$80K - $120K,Blue,33,3,3,5,13095.396271560625,1514,11581.396271560625,0.9592263866185551,3015,45,0.0,0.4479924544757272
12,52,M,1,High School,Married,Less than $40K,Blue,44,5,2,6,1438.3,2081,3.0,1.4209152589180891,8438,98,0.0,0.0
13,58,M,0,Doctorate,Divorced,Less than $40K,Blue,26,4,5,1,13822.661910151604,128,13694.661910151604,0.31631955368471043,4556,53,0.902279160202517,0.2831493138815798
14,47,M,2,Unknown,Married,$40K - $60K,Silver,33,4,5,3,5056.701936061401,492,4564.701936061401,0.0,3263,60,0.5007796841531106,0.0
15,49,M,4,Uneducated,Single,$40K - $60K,Blue,33,3,2,2,11727.22113636497,2517,9210.22113636497,1.1013713234245923,6750,83,0.28346960902736473,0.0
16,52,M,1,College,Married,Less than $40K,Blue,41,4,5,6,1438.3,937,501.29999999999995,0.46759265293366725,1487,35,0.25191238927577353,0.5841425683574204
17,32,F,4,Unknown,Married,Less than $40K,Blue,39,4,3,0,9328.905444887587,2517,6811.905444887587,0.8836817090947634,4105,54,0.1526248542077161,0.7083262388281633
18,49,F,0,College,Single,Unknown,Blue,19,2,0,1,1438.3,443,995.3,1.3394020988785835,1977,40,2.2832610618718276,0.0
19,55,F,4,Graduate,Married,Less than $40K,Blue,32,4,0,5,5198.650279876313,0,5198.650279876313,0.7731565698997165,3726,50,0.3779014323792438,0.0
20,51,M,3,Post-Graduate,Married,Less than $40K,Blue,47,4,1,3,1438.3,730,708.3,0.03719002056497822,3682,43,0.16990641655293753,0.2811078175684774
21,60,M,4,High School,Married,Less than $40K,Blue,35,2,6,5,16782.518629495382,952,15830.518629495382,0.0,7728,94,2.3810646889841354,0.0
22,44,F,1,Graduate,Married,Less than $40K,Blue,28,4,2,2,8126.19082416846,714,7412.19082416846,0.7650963281052959,952,21,0.7861107884228402,0.0
23,56,M,4,College,Single,Less than $40K,Blue,35,3,6,3,22067.05439734924,305,21762.05439734924,1.586704875184692,6123,88,0.3111431999134026,0.11691225887351395
24,45,M,2,Graduate,Single,$120K +,Blue,44,5,0,1,1438.3,1265,173.29999999999995,1.361261640881736,2639,34,0.2597781833813259,0.0
25,53,F,3,Post-Graduate,Married,$60K - $80K,Blue,30,4,4,3,20244.962737719354,290,19954.962737719354,0.25961263266027995,8772,115,0.47790087502460044,0.0
26,46,F,3,Uneducated,Single,Unknown,Blue,27,3,4,3,2402.3897872371354,394,2008.3897872371354,1.1484120426708047,3562,43,2.963172141134663,0.0
